Information Block,Attribute,ISE Version,Description
nan,nan,nan,nan
DeploymentInfo,CiscoAccountID,2.7&3,check check
nan,nan,nan,nan
DeploymentInfo,DeploymentID,2.7&3,ID that is unique to a ISE deployment
nan,nan,nan,nan
DeploymentInfo,NodeList,2.7&3,Internal infrastructure attribute
nan,nan,nan,nan
DeploymentInfo,xmlns,2.7,Internal infrastructure attribute
nan,nan,nan,nan
DeploymentInfo,xmlns:ns2,2.7,helol helolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelolhelol
nan,nan,nan,nan
DeploymentInfo,xmlns:ns3,2.7,Internal infrastructure attribute
nan,nan,nan,nan
DeploymentInfo,xmlns:ns4,2.7,Internal infrastructure attribute
nan,nan,nan,nan
DeploymentInfo,xmlns:ns5,2.7,Internal infrastructure attribute
nan,nan,nan,nan
DeploymentInfo,xmlns:ns6,2.7,Internal infrastructure attribute
nan,nan,nan,nan
DeploymentInfo,CountInfo,2.7&3,Internal infrastructure attribute
nan,nan,nan,nan
DeploymentInfo,MnTNodeCount,2.7&3,number of MNT nodes
nan,nan,nan,nan
DeploymentInfo,Node,2.7&3,Internal infrastructure attribute
nan,nan,nan,nan
DeploymentInfo,NodeCount,2.7&3,Number of Nodes of ISE (includes all types of nodes)
nan,nan,nan,nan
DeploymentInfo,PAPNodeCount,2.7&3,number of PAP nodes
nan,nan,nan,nan
DeploymentInfo,PDPNodeCount,2.7&3,number of PDP nodes
nan,nan,nan,nan
DeploymentInfo,PICNodeCount,2.7&3,number of PIC nodes
nan,nan,nan,nan
DeploymentInfo,PxGridNodeCount,2.7&3,number of PxGrid nodes
nan,nan,nan,nan
DeploymentInfo,CurrentGuestUserCount,2.7&3,Current number of guest users
nan,nan,nan,nan
DeploymentInfo,CurrentMDMEndPtCount,2.7&3,Current number of MDM endpoints
nan,nan,nan,nan
DeploymentInfo,CurrentPostureEndptCount,2.7&3,Current number of posture endpoints
nan,nan,nan,nan
DeploymentInfo,CurrentPxGridClientCount,2.7&3,Current number of pxgrid clients
nan,nan,nan,nan
DeploymentInfo,fromDate,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,toDate,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,CountInfo_23,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Disk,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,LastLoggedInAdminViaCLI,2.7&3,user logged in via CLI
nan,nan,nan,nan
DeploymentInfo,LastLoggedInAdminViaCLITimestamp,2.7&3,timestamp of last login of admin via CLI
nan,nan,nan,nan
DeploymentInfo,LoadAvg,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Memory,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Name,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,NodeServiceType,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,NodeTypes,2.7&3,Type of node
nan,nan,nan,nan
DeploymentInfo,NumberOfCpuCores,2.7&3,number of cpu cores
nan,nan,nan,nan
DeploymentInfo,PID,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,PT,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,PatchVersion,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,PeakCpuUtilization,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,PeakMemoryUtilization,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Profile,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,ProfilerProbes,2.7&3,number of profiler probes
nan,nan,nan,nan
DeploymentInfo,SN,2.7&3,Serial Number
nan,nan,nan,nan
DeploymentInfo,Status,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Uptime,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,VID,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,VMDiskSpace,2.7&3,Amount of disk space on VM
nan,nan,nan,nan
DeploymentInfo,Version,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,telemetryEnabled,2.7&3,Is telemetry enabled
nan,nan,nan,nan
DeploymentInfo,FileSystem,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Free,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,LoadAvgFifteen,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,LoadAvgFive,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,LoadAvgOne,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Percent,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Total,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Available,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,MountPoint,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Used,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,FileSystem_8,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,FileSystem_8R,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Disk_5,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,LoadAvg_0,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Memory_57,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Node_3,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,Node_3A,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,NodeList_75,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,DeploymentInfo_73,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,DeploymentInfo_15,2.7&3,nan
nan,nan,nan,nan
DeploymentInfo,FIPSStatus,3,nan
nan,nan,nan,nan
DeploymentInfo,GuestAuthenticatedExternalIdSourceInfo,3,nan
nan,nan,nan,nan
DeploymentInfo,ActiveDirectoryInfo,3,nan
nan,nan,nan,nan
DeploymentInfo,CertificateAuthProfileInfo,3,nan
nan,nan,nan,nan
DeploymentInfo,IdentityProviderInfo,3,nan
nan,nan,nan,nan
DeploymentInfo,LdapInfo,3,nan
nan,nan,nan,nan
DeploymentInfo,OdbcInfo,3,nan
nan,nan,nan,nan
DeploymentInfo,RADIUSTokenInfo,3,nan
nan,nan,nan,nan
DeploymentInfo,RSASecurIdInfo,3,nan
nan,nan,nan,nan
DeploymentInfo,SocialLoginInfo,3,nan
nan,nan,nan,nan
DeploymentInfo,AppId,3,nan
nan,nan,nan,nan
DeploymentInfo,DomainName,3,nan
nan,nan,nan,nan
DeploymentInfo,HostName,3,nan
nan,nan,nan,nan
DeploymentInfo,IdentityFrom,3,nan
nan,nan,nan,nan
DeploymentInfo,IdpProviderId,3,nan
nan,nan,nan,nan
DeploymentInfo,PrimaryHostName,3,nan
nan,nan,nan,nan
DeploymentInfo,SecurIdPath,3,nan
nan,nan,nan,nan
DeploymentInfo,VMCpuLimit,3,nan
nan,nan,nan,nan
DeploymentInfo,VMCpuReservation,3,nan
nan,nan,nan,nan
DeploymentInfo,VMMemoryLimit,3,nan
nan,nan,nan,nan
DeploymentInfo,VMMemoryReservation,3,nan
nan,nan,nan,nan
DeploymentInfo,nan,3,nan
nan,nan,nan,nan
DeploymentInfo,ActiveDirectoryInfo_58,3,nan
nan,nan,nan,nan
DeploymentInfo,CertificateAuthProfileInfo_58,3,nan
nan,nan,nan,nan
DeploymentInfo,IdentityProviderInfo_58,3,nan
nan,nan,nan,nan
DeploymentInfo,LdapInfo_58,3,nan
nan,nan,nan,nan
DeploymentInfo,OdbcInfo_58,3,nan
nan,nan,nan,nan
DeploymentInfo,RADIUSTokenInfo_58,3,nan
nan,nan,nan,nan
DeploymentInfo,RSASecurIdInfo_58,3,nan
nan,nan,nan,nan
DeploymentInfo,SocialLoginInfo_58,3,nan
nan,nan,nan,nan
DeploymentInfo,ActiveDirectoryInfo_58R,3,nan
nan,nan,nan,nan
DeploymentInfo,CertificateAuthProfileInfo_58R,3,nan
nan,nan,nan,nan
DeploymentInfo,IdentityProviderInfo_58R,3,nan
nan,nan,nan,nan
DeploymentInfo,LdapInfo_58R,3,nan
nan,nan,nan,nan
DeploymentInfo,OdbcInfo_58R,3,nan
nan,nan,nan,nan
DeploymentInfo,RADIUSTokenInfo_58R,3,nan
nan,nan,nan,nan
DeploymentInfo,RSASecurIdInfo_58R,3,nan
nan,nan,nan,nan
DeploymentInfo,SocialLoginInfo_58R,3,nan
nan,nan,nan,nan
DeploymentInfo,GuestAuthenticatedExternalIdSourceInfo_30,3,nan
nan,nan,nan,nan
LicensesInfo,DeploymentID,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,NodeList,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,xmlns,2.7,nan
nan,nan,nan,nan
LicensesInfo,xmlns:ns2,2.7,nan
nan,nan,nan,nan
LicensesInfo,xmlns:ns3,2.7,nan
nan,nan,nan,nan
LicensesInfo,xmlns:ns4,2.7,nan
nan,nan,nan,nan
LicensesInfo,xmlns:ns5,2.7,nan
nan,nan,nan,nan
LicensesInfo,xmlns:ns6,2.7,nan
nan,nan,nan,nan
LicensesInfo,Node,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,Scope,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,License,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,PeakApexCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,PeakBaseCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,PeakPlusCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,SmartAccountName,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,TACACSConsumptionCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,TotalApexCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,TotalBaseCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,TotalPlusCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,VMLargeConsumptionCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,VMLargeLicenseCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,VMMediumConsumptionCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,VMMediumLicenseCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,VMSmallConsumptionCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,VMSmallLicenseCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,VirtualAccountName,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,deviceAdminCount,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,isAnyLicenseExpired,2.7&3,True' if any of license has expired
nan,nan,nan,nan
LicensesInfo,isApexInstalled,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,isBaseInstalled,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,isEvaluationLic,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,isPlusInstalled,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,isWiredEnabled,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,Count,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,ExpiryDate,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,FileName,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,PrimaryUDI,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,RemainingDays,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,SecondaryUDI,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,ServiceTypes,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,Term,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,isEvaluation,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,isExpired,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,License_81,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,License_81R,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,Node_51,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,NodeList_66,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,LicensesInfo_32,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,LicensesInfo_10,2.7&3,nan
nan,nan,nan,nan
LicensesInfo,nan,3,nan
nan,nan,nan,nan
MDMInfo,DeploymentID,2.7&3,nan
nan,nan,nan,nan
MDMInfo,NodeList,2.7&3,nan
nan,nan,nan,nan
MDMInfo,Node,2.7&3,nan
nan,nan,nan,nan
MDMInfo,Scope,2.7&3,nan
nan,nan,nan,nan
MDMInfo,Servers,2.7&3,nan
nan,nan,nan,nan
MDMInfo,HostName,2.7&3,nan
nan,nan,nan,nan
MDMInfo,IPAddress,2.7&3,nan
nan,nan,nan,nan
MDMInfo,Name,2.7&3,nan
nan,nan,nan,nan
MDMInfo,Servers_8,2.7&3,nan
nan,nan,nan,nan
MDMInfo,Servers_8R,2.7&3,nan
nan,nan,nan,nan
MDMInfo,Node_5,2.7&3,nan
nan,nan,nan,nan
MDMInfo,NodeList_21,2.7&3,nan
nan,nan,nan,nan
MDMInfo,MDMInfo_21,2.7&3,nan
nan,nan,nan,nan
MDMInfo,MDMInfo_26,2.7&3,nan
nan,nan,nan,nan
MDMInfo,ActiveDesktopMdmServersCount,3,nan
nan,nan,nan,nan
MDMInfo,ActiveMdmServersCount,3,nan
nan,nan,nan,nan
MDMInfo,ActiveMobileMdmServersCount,3,nan
nan,nan,nan,nan
MDMInfo,Compliant,3,nan
nan,nan,nan,nan
MDMInfo,DesktopMdmServerCount,3,nan
nan,nan,nan,nan
MDMInfo,NonCompliant,3,nan
nan,nan,nan,nan
MDMInfo,DeviceIdentifierConfigurations,3,nan
nan,nan,nan,nan
MDMInfo,ImportedBaselinesCount,3,nan
nan,nan,nan,nan
MDMInfo,SelectedBaselinesCount,3,nan
nan,nan,nan,nan
MDMInfo,ServerType,3,nan
nan,nan,nan,nan
MDMInfo,VendorApiVersion,3,nan
nan,nan,nan,nan
MDMInfo,VendorName,3,nan
nan,nan,nan,nan
MDMInfo,VendorProductName,3,nan
nan,nan,nan,nan
MDMInfo,VendorProductVersion,3,nan
nan,nan,nan,nan
MDMInfo,nan,3,nan
nan,nan,nan,nan
NADInfo,DeploymentID,2.7&3,nan
nan,nan,nan,nan
NADInfo,NodeList,2.7&3,nan
nan,nan,nan,nan
NADInfo,xmlns,2.7,nan
nan,nan,nan,nan
NADInfo,xmlns:ns2,2.7,nan
nan,nan,nan,nan
NADInfo,xmlns:ns3,2.7,nan
nan,nan,nan,nan
NADInfo,xmlns:ns4,2.7,nan
